Country,Year,TPopulation1July,PopGrowthRate,TFR,IMR,LEx,GDP_Growth,FDI_Value,Financial_Value,Malaria,Lower respiratory infections,Diarrhoeal diseases,HIV/AIDS,Maternal conditions,COVID-19,Diabetes mellitus,Hypertensive heart disease,Ischaemic heart disease,Meningitis
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,643858000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,55203807358.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,1626888039386.35,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,6114361297.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,127238195732.066,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,75647771752.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,165104839254.605,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,580942327537.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,1218566026362.97,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,642967823184.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,13111905508.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,110696264458.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0062131932936608,48071000000.0,,,,,,,,,,
